policy,seed,mode,previous_success,success,arm_match,lifted,first_lifted_arm,wrong_arm_lifted_ever,first_wrong_arm_lift_action,lift_m,dist_cmd_tcp,dist_other_tcp,video
lingbot_vla,500033,right,1,1,True,True,right,False,,0.050008177757263184,0.13091524956630224,0.4286371489627163,lingbot_vla/arm_select/arm_select_ep500033_1.mp4
lingbot_vla,500034,left,1,1,True,True,left,False,,0.05010426044464111,0.13076926829256325,0.46151084401585285,lingbot_vla/arm_select/arm_select_ep500034_1.mp4
lingbot_vla,500035,right,0,0,False,False,left,True,80,-1.1920928955078125e-07,0.3772469928425742,0.23778214916360169,lingbot_vla/arm_select/arm_select_ep500035_0.mp4
lingbot_vla,500036,left,0,0,False,False,right,True,81,5.960464477539063e-08,0.37964525740220056,0.20412425552736013,lingbot_vla/arm_select/arm_select_ep500036_0.mp4
lingbot_vla,500037,right,1,1,True,True,right,False,,0.05006498098373413,0.13062934155517336,0.41465009427633276,lingbot_vla/arm_select/arm_select_ep500037_1.mp4
lingbot_vla,500038,left,0,0,False,False,right,True,82,0.0,0.3566817522961644,0.22747284387719102,lingbot_vla/arm_select/arm_select_ep500038_0.mp4
lingbot_vla,500039,right,1,1,True,True,right,False,,0.050008535385131836,0.13043307894976264,0.41688640096785434,lingbot_vla/arm_select/arm_select_ep500039_1.mp4
vlact,500000,left,1,1,True,True,left,False,,0.050076186656951904,0.14191332966285863,0.4228736802852867,vlact/arm_select/arm_select_ep500000_1.mp4
vlact,500001,right,1,1,True,True,right,False,,0.05003464221954346,0.1398666837715976,0.3908553498825671,vlact/arm_select/arm_select_ep500001_1.mp4
vlact,500002,left,0,0,False,False,right,True,112,-1.1920928955078125e-07,0.20644227166631318,0.45535725536180954,vlact/arm_select/arm_select_ep500002_0.mp4
vlact,500003,right,1,1,True,True,right,False,,0.050045132637023926,0.14560094669324983,0.44540154776676905,vlact/arm_select/arm_select_ep500003_1.mp4
vlact,500004,left,1,1,True,True,left,False,,0.05002862215042114,0.13257205409402434,0.45227439472354103,vlact/arm_select/arm_select_ep500004_1.mp4
vlact,500005,right,0,0,False,False,left,True,94,0.0010303854942321777,0.4726956430220436,0.18445622391217287,vlact/arm_select/arm_select_ep500005_0.mp4
vlact,500006,left,1,1,True,True,left,False,,0.05003422498703003,0.1340723308423117,0.42825280242166064,vlact/arm_select/arm_select_ep500006_1.mp4
vlact,500007,right,0,0,False,False,left,True,363,0.0335811972618103,0.45778654002841906,0.13059551725163848,vlact/arm_select/arm_select_ep500007_0.mp4
vlact,500008,left,1,1,True,True,left,False,,0.05001652240753174,0.131650985548341,0.4010766492754532,vlact/arm_select/arm_select_ep500008_1.mp4
vlact,500009,right,1,1,True,True,right,False,,0.05016183853149414,0.1302620333009767,0.41318272412295026,vlact/arm_select/arm_select_ep500009_1.mp4
vlact,500010,left,1,1,True,True,left,False,,0.05001479387283325,0.15109109834709877,0.4696707038469777,vlact/arm_select/arm_select_ep500010_1.mp4
vlact,500011,right,0,0,False,False,,False,,1.1920928955078125e-07,0.22495221785803934,0.3499042833578192,vlact/arm_select/arm_select_ep500011_0.mp4
vlact,500012,left,1,1,True,True,left,False,,0.05004018545150757,0.13039724910044265,0.4168189927022211,vlact/arm_select/arm_select_ep500012_1.mp4
vlact,500013,right,0,0,False,False,,False,,0.0,0.2981035487961981,0.3663361264606848,vlact/arm_select/arm_select_ep500013_0.mp4
vlact,500014,left,0,0,False,False,right,True,96,2.384185791015625e-07,0.31726375581874267,0.44918836516082716,vlact/arm_select/arm_select_ep500014_0.mp4
vlact,500015,right,1,1,True,True,right,False,,0.05002838373184204,0.13200279251967145,0.42843556287679446,vlact/arm_select/arm_select_ep500015_1.mp4
vlact,500016,left,1,1,True,True,left,False,,0.05001938343048096,0.14336365441656407,0.43114450641693947,vlact/arm_select/arm_select_ep500016_1.mp4
vlact,500017,right,1,1,True,True,right,False,,0.050030410289764404,0.13401231887456744,0.3882952190756703,vlact/arm_select/arm_select_ep500017_1.mp4
vlact,500018,left,1,1,True,True,left,False,,0.05011582374572754,0.13204350460903092,0.4254530932761204,vlact/arm_select/arm_select_ep500018_1.mp4
vlact,500019,right,1,1,True,True,right,False,,0.050035059452056885,0.1299851845751099,0.41198112352106936,vlact/arm_select/arm_select_ep500019_1.mp4
vlact,500020,left,0,0,False,False,right,True,107,5.960464477539063e-08,0.3790767215616208,0.15382508770717046,vlact/arm_select/arm_select_ep500020_0.mp4
vlact,500021,right,1,1,True,True,right,False,,0.05006605386734009,0.13254243897919588,0.4145413102592543,vlact/arm_select/arm_select_ep500021_1.mp4
vlact,500022,left,1,1,True,True,left,False,,0.05005919933319092,0.13001769344789954,0.4396960484775478,vlact/arm_select/arm_select_ep500022_1.mp4
vlact,500023,right,1,1,True,True,right,False,,0.05007845163345337,0.128901344562505,0.3757085812510504,vlact/arm_select/arm_select_ep500023_1.mp4
vlact,500024,left,1,1,True,True,left,False,,0.05014318227767944,0.1406202066938732,0.4280286574180392,vlact/arm_select/arm_select_ep500024_1.mp4
vlact,500025,right,1,1,True,True,right,False,,0.05008506774902344,0.13297334455190804,0.40014217223562343,vlact/arm_select/arm_select_ep500025_1.mp4
vlact,500026,left,0,0,False,False,right,True,95,1.7881393432617188e-07,0.32888385138835813,0.2074375697055746,vlact/arm_select/arm_select_ep500026_0.mp4
vlact,500027,right,1,1,True,True,right,False,,0.050111353397369385,0.13317115959438977,0.4311978265217182,vlact/arm_select/arm_select_ep500027_1.mp4
vlact,500028,left,1,1,True,True,left,False,,0.050004422664642334,0.13294519198795643,0.4342690527336205,vlact/arm_select/arm_select_ep500028_1.mp4
vlact,500029,right,1,1,True,True,right,False,,0.050087809562683105,0.13036350445758918,0.39896500230150467,vlact/arm_select/arm_select_ep500029_1.mp4
