policy,seed,mode,previous_success,success,first_lifted,distractor_lifted_ever,first_distractor_lift_action,target_lift_m,distractor_lift_m,distractor_peak_lift_m,video
hy_vla,100005,shape:bar,1,1,target,False,,0.050090014934539795,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100005_1.mp4
hy_vla,100006,size:big,1,0,distractor,True,31,-0.7399989813566208,-1.1920928955078125e-07,0.08606475591659546,hy_vla/attribute_select/attribute_select_ep100006_0.mp4
hy_vla,100007,size:small,1,1,target,False,,0.050244688987731934,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100007_1.mp4
hy_vla,100008,color:red,1,1,target,False,,0.0500943660736084,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100008_1.mp4
hy_vla,100009,color:blue,1,0,distractor,True,31,1.1920928955078125e-07,5.960464477539063e-08,0.08339637517929077,hy_vla/attribute_select/attribute_select_ep100009_0.mp4
hy_vla,100010,decal:cat,1,1,target,False,,0.05014920234680176,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100010_1.mp4
hy_vla,100011,decal:dog,0,0,distractor,True,31,1.1920928955078125e-07,-1.1920928955078125e-07,0.0845826268196106,hy_vla/attribute_select/attribute_select_ep100011_0.mp4
hy_vla,100012,shape:block,1,0,distractor,True,32,0.0,-0.01100015640258789,0.09277993440628052,hy_vla/attribute_select/attribute_select_ep100012_0.mp4
hy_vla,100013,shape:bar,1,1,target,False,,0.05002850294113159,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100013_1.mp4
hy_vla,100014,size:big,1,0,distractor,True,31,-0.7400004975497723,1.1920928955078125e-07,0.08916550874710083,hy_vla/attribute_select/attribute_select_ep100014_0.mp4
hy_vla,100015,size:small,1,1,target,False,,0.050031065940856934,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100015_1.mp4
hy_vla,100016,color:red,1,1,target,False,,0.05014991760253906,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100016_1.mp4
hy_vla,100017,color:blue,1,0,distractor,True,31,0.03873896598815918,0.0,0.07458478212356567,hy_vla/attribute_select/attribute_select_ep100017_0.mp4
hy_vla,100018,decal:cat,1,0,distractor,True,31,0.0,0.0,0.08277976512908936,hy_vla/attribute_select/attribute_select_ep100018_0.mp4
hy_vla,100019,decal:dog,1,1,target,False,,0.05026865005493164,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100019_1.mp4
hy_vla,100020,shape:block,1,0,distractor,True,31,0.0,-0.010999739170074463,0.09533727169036865,hy_vla/attribute_select/attribute_select_ep100020_0.mp4
hy_vla,100021,shape:bar,1,1,target,False,,0.05003845691680908,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100021_1.mp4
hy_vla,100022,size:big,0,0,distractor,True,31,0.0,-5.960464477539063e-08,0.08843469619750977,hy_vla/attribute_select/attribute_select_ep100022_0.mp4
hy_vla,100023,size:small,1,1,target,False,,0.050065577030181885,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100023_1.mp4
hy_vla,100024,color:red,1,1,target,False,,0.05017918348312378,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100024_1.mp4
hy_vla,100025,color:blue,1,0,distractor,True,32,0.09855425357818604,5.960464477539063e-08,0.07430285215377808,hy_vla/attribute_select/attribute_select_ep100025_0.mp4
hy_vla,100026,decal:cat,1,1,target,False,,0.05013233423233032,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100026_1.mp4
hy_vla,100027,decal:dog,1,0,distractor,True,31,0.005264699459075928,1.7881393432617188e-07,0.08168250322341919,hy_vla/attribute_select/attribute_select_ep100027_0.mp4
hy_vla,100028,shape:block,1,0,distractor,True,31,0.019507944583892822,0.0,0.0937584638595581,hy_vla/attribute_select/attribute_select_ep100028_0.mp4
hy_vla,100029,shape:bar,1,1,target,False,,0.05006295442581177,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100029_1.mp4
hy_vla,100030,size:big,1,0,distractor,True,31,6.556510925292969e-07,-5.960464477539063e-08,0.09069222211837769,hy_vla/attribute_select/attribute_select_ep100030_0.mp4
hy_vla,100031,size:small,1,1,target,False,,0.05016207695007324,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100031_1.mp4
hy_vla,100032,color:red,1,1,target,False,,0.05008876323699951,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100032_1.mp4
hy_vla,100033,color:blue,1,0,distractor,True,31,0.06026947498321533,-1.4901161193847656e-06,0.07743024826049805,hy_vla/attribute_select/attribute_select_ep100033_0.mp4
hy_vla,100034,decal:cat,1,0,,False,,0.0,-1.7881393432617188e-07,7.212162017822266e-06,hy_vla/attribute_select/attribute_select_ep100034_0.mp4
hy_vla,100035,decal:dog,1,1,target,False,,0.05015230178833008,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100035_1.mp4
hy_vla,100036,shape:block,1,1,target,False,,0.05035048723220825,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100036_1.mp4
hy_vla,100037,shape:bar,1,1,target,False,,0.050014495849609375,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100037_1.mp4
hy_vla,100038,size:big,1,0,distractor,True,31,0.0,1.7881393432617188e-07,0.08418822288513184,hy_vla/attribute_select/attribute_select_ep100038_0.mp4
hy_vla,100039,size:small,1,1,target,False,,0.050123751163482666,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100039_1.mp4
hy_vla,100040,color:red,1,1,target,False,,0.050087571144104004,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100040_1.mp4
hy_vla,100041,color:blue,1,0,distractor,True,31,0.05999332666397095,1.1920928955078125e-06,0.08135497570037842,hy_vla/attribute_select/attribute_select_ep100041_0.mp4
hy_vla,100042,decal:cat,1,1,target,False,,0.050238609313964844,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100042_1.mp4
hy_vla,100043,decal:dog,1,0,distractor,True,31,1.7285346984863281e-06,5.960464477539063e-08,0.07537883520126343,hy_vla/attribute_select/attribute_select_ep100043_0.mp4
hy_vla,100044,shape:block,0,0,distractor,True,31,1.1920928955078125e-07,0.0,0.09225451946258545,hy_vla/attribute_select/attribute_select_ep100044_0.mp4
hy_vla,100045,shape:bar,1,1,target,False,,0.05000799894332886,0.0,0.0,hy_vla/attribute_select/attribute_select_ep100045_1.mp4
